date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking
1992-06-10,Sweden,France,1.0,1.0,UEFA Euro,Solna,Sweden,False,4,19
1992-06-11,Denmark,England,0.0,0.0,UEFA Euro,Malmö,Sweden,True,9,5
1992-06-12,Netherlands,Scotland,1.0,0.0,UEFA Euro,Gothenburg,Sweden,True,7,23
1992-06-12,Russia,Germany,1.0,1.0,UEFA Euro,Norrköping,Sweden,True,8,1
1992-06-14,France,England,0.0,0.0,UEFA Euro,Malmö,Sweden,True,19,5
1992-06-14,Sweden,Denmark,1.0,0.0,UEFA Euro,Solna,Sweden,False,4,9
1992-06-15,Netherlands,Russia,0.0,0.0,UEFA Euro,Gothenburg,Sweden,True,7,8
1992-06-15,Scotland,Germany,0.0,2.0,UEFA Euro,Norrköping,Sweden,True,23,1
1992-06-17,France,Denmark,1.0,2.0,UEFA Euro,Malmö,Sweden,True,19,9
1992-06-17,Sweden,England,2.0,1.0,UEFA Euro,Solna,Sweden,False,4,5
1992-06-18,Netherlands,Germany,3.0,1.0,UEFA Euro,Gothenburg,Sweden,True,7,1
1992-06-18,Scotland,Russia,3.0,0.0,UEFA Euro,Norrköping,Sweden,True,23,8
1992-06-21,Sweden,Germany,2.0,3.0,UEFA Euro,Solna,Sweden,False,4,1
1992-06-22,Netherlands,Denmark,2.0,2.0,UEFA Euro,Gothenburg,Sweden,True,7,9
1992-06-26,Denmark,Germany,2.0,0.0,UEFA Euro,Gothenburg,Sweden,True,9,1
1996-06-08,England,Switzerland,1.0,1.0,UEFA Euro,London,England,False,24,21
1996-06-09,Denmark,Portugal,1.0,1.0,UEFA Euro,Sheffield,England,True,11,18
1996-06-09,Germany,Czech Republic,2.0,0.0,UEFA Euro,Manchester,England,True,2,0
1996-06-09,Spain,Bulgaria,1.0,1.0,UEFA Euro,Leeds,England,True,6,28
1996-06-10,Netherlands,Scotland,0.0,0.0,UEFA Euro,Birmingham,England,True,13,31
1996-06-10,Romania,France,0.0,1.0,UEFA Euro,Newcastle,England,True,16,5
1996-06-11,Italy,Russia,2.0,1.0,UEFA Euro,Liverpool,England,True,7,3
1996-06-11,Turkey,Croatia,0.0,1.0,UEFA Euro,Nottingham,England,True,30,27
1996-06-13,Bulgaria,Romania,1.0,0.0,UEFA Euro,Newcastle,England,True,28,16
1996-06-13,Switzerland,Netherlands,0.0,2.0,UEFA Euro,Birmingham,England,True,21,13
1996-06-14,Czech Republic,Italy,2.0,1.0,UEFA Euro,Liverpool,England,True,0,7
1996-06-14,Portugal,Turkey,1.0,0.0,UEFA Euro,Nottingham,England,True,18,30
1996-06-15,England,Scotland,2.0,0.0,UEFA Euro,London,England,False,24,31
1996-06-15,France,Spain,1.0,1.0,UEFA Euro,Leeds,England,True,5,6
1996-06-16,Croatia,Denmark,3.0,0.0,UEFA Euro,Sheffield,England,True,27,11
1996-06-16,Russia,Germany,0.0,3.0,UEFA Euro,Manchester,England,True,3,2
1996-06-18,England,Netherlands,4.0,1.0,UEFA Euro,London,England,False,24,13
1996-06-18,France,Bulgaria,3.0,1.0,UEFA Euro,Newcastle,England,True,5,28
1996-06-18,Romania,Spain,1.0,2.0,UEFA Euro,Leeds,England,True,16,6
1996-06-18,Scotland,Switzerland,1.0,0.0,UEFA Euro,Birmingham,England,True,31,21
1996-06-19,Croatia,Portugal,0.0,3.0,UEFA Euro,Nottingham,England,True,27,18
